issue_id,user_story_id,issue_titulo,user_story,match
0,0,Price ranges filter takes only min_price for configurable products,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
1,0,Frozen loop in orders page,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
2,0,"Braintree: ""Client token has expired"" error - Token not regenerated automatically on checkout","As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
3,0,2.4.8-p1 datepicker - position is wrong on touch devices,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
4,0,Import less file from app/design to custom module,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
5,0,2.4.7-p5 - Print Order button is not showing on order view page at frontend side,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
6,0,Exception thrown: 'System.InvalidOperationException' in System.Private.CoreLib.dll: 'The given ColumnMapping does not match up with any column in the source or destination.',"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
7,0,"Homepage URL doesn't have ""/en"" when ""SEO friendly URLs with multiple languages"" setting is enabled","As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
8,0,MySQL Container Fails: Identifier name too long in Docker Compose Setup,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
9,0,Bulk edit products. Editing products without SKU,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
10,0,"Discount Limitation ""N Times Per Customer"" Not Enforced for Guest Customers","As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
11,0,Use ISO 8601 with timezone for DateTime properties in the JSON-LD models,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
12,0,Item removal handler conflicting with coupon removal button in shopping cart,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
13,0,Opencart demo website not working,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
14,0,New,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
15,0,"Inconsistency in validations, controllers without trim Opencart 3.0.4.1 and older.","As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
16,0,admin menu error,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
17,0,"Admin cache refresh doesn't work, No response.","As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
18,0,"For security reasons, you cannot connect to the back office until you have:  SSL is activated. Please connect using the following link to log in to secure mode (https://)","As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
19,0,Error installing PrestaShop 8 locally,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
20,0,Bad badge when update to 8.2.2,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
21,0,probleme-with-php-8.2-in Prestashop-8.2,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
22,0,Prestashop Minimal product quantity,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
23,0,Wall of fame - BO not iso with figma,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
24,0,SwagCommercial cannot be activated after updating to 7.1.1,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
25,0,Media preview file name not centered,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
26,0,Product Description overwriting HTML Code,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
27,0,Thumbnails not generated,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
28,0,Squished line item document text,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
29,0,Cloud: Unable to create a Google Shopping saleschannel,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
30,0,SwagCommercial cannot be activated after updating to 7.1.1,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
31,0,Media preview file name not centered,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
32,0,Product Description overwriting HTML Code,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
33,0,Thumbnails not generated,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
34,0,Squished line item document text,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",True
35,0,Cloud: Unable to create a Google Shopping saleschannel,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
36,0,The new reports in woo are terrible.,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
37,0,problem in woocommerce at the end of shipping,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
38,0,Mark the ‘Set up payments’ task as in progress on WooCommerce Home when live WooPayments onboarding started,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
39,0,[Payments NOX] Store in subdirectory can't switch to live through NOX flow,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
40,0,Add REST API and hooks documentations to repository,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
41,0,The editor is not showing previewCart data for the checkout blocks,"As an editor, I want to maintain language labels for different site parts by categories, so that I can search and maintain language labels easily. ",False
0,1,Price ranges filter takes only min_price for configurable products,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
1,1,Frozen loop in orders page,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
2,1,"Braintree: ""Client token has expired"" error - Token not regenerated automatically on checkout","As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
3,1,2.4.8-p1 datepicker - position is wrong on touch devices,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
4,1,Import less file from app/design to custom module,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
5,1,2.4.7-p5 - Print Order button is not showing on order view page at frontend side,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
6,1,Exception thrown: 'System.InvalidOperationException' in System.Private.CoreLib.dll: 'The given ColumnMapping does not match up with any column in the source or destination.',"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
7,1,"Homepage URL doesn't have ""/en"" when ""SEO friendly URLs with multiple languages"" setting is enabled","As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
8,1,MySQL Container Fails: Identifier name too long in Docker Compose Setup,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
9,1,Bulk edit products. Editing products without SKU,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
10,1,"Discount Limitation ""N Times Per Customer"" Not Enforced for Guest Customers","As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
11,1,Use ISO 8601 with timezone for DateTime properties in the JSON-LD models,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
12,1,Item removal handler conflicting with coupon removal button in shopping cart,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
13,1,Opencart demo website not working,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
14,1,New,"As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",True
15,1,"Inconsistency in validations, controllers without trim Opencart 3.0.4.1 and older.","As a system administrator, I want to deploy filters run-time, so that I can roll-out filter dependent functionality efficiently througout DTAP ",False
